epoch,step,loss,lr,time_ms,tokens_per_sec
1,4,4.673472,0.000300,109,2347.01
2,8,2.876111,0.000300,90,2839.80
3,12,2.173687,0.000300,91,2795.87
4,16,1.859799,0.000300,93,2743.28
5,20,1.664638,0.000300,90,2834.70
6,24,1.504205,0.000300,90,2818.74
7,28,1.369450,0.000300,90,2816.33
8,32,1.247402,0.000300,90,2835.53
9,36,1.136929,0.000300,90,2818.54
10,40,1.034778,0.000300,90,2813.23
